image slide: 0x4b7c000
root-orbit-split: board is σ-symmetric; searching one representative per σ-orbit of the root's children
cWD: mmapping data/cwd_mm.bin…
cwd-lm2: mmapping data/cwd_lm_mm.bin…
cWD ready: fast single-line-max table path, neighbor-prune ON
flat engine: iterative arena, move-pruning DFA 41396 states, 687 KiB
parallel: tree-splitting driver on 8 rayon workers (RAYON_NUM_THREADS to change)
[13:12:20.052 UTC] search: start  (setup 1.44s)
    lm2joint[live]: consults 36218732 (+405464), misses 326650 (+1564), keys 326492, prunes 2011151, fallbacks 46994
    lm2joint[live]: consults 36961473 (+742741), misses 328276 (+1626), keys 328118, prunes 2059135, fallbacks 47243
    lm2joint[live]: consults 37954714 (+993241), misses 329978 (+1702), keys 329820, prunes 2116468, fallbacks 47523
    lm2joint[live]: consults 38585976 (+631262), misses 331904 (+1926), keys 331746, prunes 2171001, fallbacks 47779
    lm2joint[live]: consults 39296467 (+710491), misses 334030 (+2126), keys 333871, prunes 2221575, fallbacks 48070
    lm2joint[live]: consults 39896417 (+599950), misses 335724 (+1694), keys 335564, prunes 2271978, fallbacks 48320
    lm2joint[live]: consults 40440918 (+544501), misses 337890 (+2166), keys 337730, prunes 2323173, fallbacks 48533
    lm2joint[live]: consults 41194429 (+753511), misses 340180 (+2290), keys 340020, prunes 2386088, fallbacks 48805
    lm2joint[live]: consults 41652197 (+457768), misses 342044 (+1864), keys 341884, prunes 2422450, fallbacks 49067
    lm2joint[live]: consults 42202744 (+550547), misses 343444 (+1400), keys 343284, prunes 2471547, fallbacks 49348
    lm2joint[live]: consults 43053416 (+850672), misses 345140 (+1696), keys 344980, prunes 2526566, fallbacks 49611
    lm2joint[live]: consults 43737740 (+684324), misses 346645 (+1505), keys 346485, prunes 2576405, fallbacks 49809
    lm2joint[live]: consults 44509892 (+772152), misses 348241 (+1596), keys 348080, prunes 2625441, fallbacks 50039
    lm2joint[live]: consults 45189924 (+680032), misses 349954 (+1713), keys 349791, prunes 2681355, fallbacks 50238
    lm2joint[live]: consults 46126573 (+936649), misses 351356 (+1402), keys 351193, prunes 2752538, fallbacks 50439
    lm2joint[live]: consults 46982258 (+855685), misses 352938 (+1582), keys 352775, prunes 2816386, fallbacks 50672
    lm2joint[live]: consults 47434537 (+452279), misses 354000 (+1062), keys 353834, prunes 2856737, fallbacks 50872
    lm2joint[live]: consults 48048424 (+613887), misses 355182 (+1182), keys 355016, prunes 2912384, fallbacks 51054
    lm2joint[live]: consults 48546870 (+498446), misses 356280 (+1098), keys 356114, prunes 2963825, fallbacks 51244
    lm2joint[live]: consults 49086123 (+539253), misses 357661 (+1381), keys 357495, prunes 3014229, fallbacks 51396
    lm2joint[live]: consults 49627385 (+541262), misses 358904 (+1243), keys 358737, prunes 3061467, fallbacks 51605
    lm2joint[live]: consults 50145209 (+517824), misses 360033 (+1129), keys 359866, prunes 3116339, fallbacks 51817
    lm2joint[live]: consults 50885096 (+739887), misses 361371 (+1338), keys 361203, prunes 3180883, fallbacks 52001
    lm2joint[live]: consults 51399515 (+514419), misses 362688 (+1317), keys 362520, prunes 3216715, fallbacks 52228
    lm2joint[live]: consults 52092253 (+692738), misses 363810 (+1122), keys 363642, prunes 3264341, fallbacks 52405
    lm2joint[live]: consults 52885242 (+792989), misses 364907 (+1097), keys 364739, prunes 3332165, fallbacks 52570
    lm2joint[live]: consults 53762277 (+877035), misses 366449 (+1542), keys 366281, prunes 3392869, fallbacks 52726
    lm2joint[live]: consults 54905043 (+1142766), misses 367744 (+1295), keys 367576, prunes 3512785, fallbacks 52954
    lm2joint[live]: consults 56126405 (+1221362), misses 369056 (+1312), keys 368888, prunes 3614963, fallbacks 53202
    lm2joint[live]: consults 57174886 (+1048481), misses 370571 (+1515), keys 370401, prunes 3682293, fallbacks 53418
    lm2joint[live]: consults 58477989 (+1303103), misses 372043 (+1472), keys 371868, prunes 3770715, fallbacks 53699
    lm2joint[live]: consults 60598931 (+2120942), misses 373933 (+1890), keys 373757, prunes 3927255, fallbacks 53915
    lm2joint[live]: consults 62109790 (+1510859), misses 375594 (+1661), keys 375418, prunes 4024333, fallbacks 54085
    lm2joint[live]: consults 63495793 (+1386003), misses 377543 (+1949), keys 377350, prunes 4113031, fallbacks 54248
    lm2joint[live]: consults 64966106 (+1470313), misses 379938 (+2395), keys 379746, prunes 4208347, fallbacks 54401
    lm2joint[live]: consults 65901648 (+935542), misses 382176 (+2238), keys 381983, prunes 4255669, fallbacks 54574
    lm2joint[live]: consults 66752171 (+850523), misses 384229 (+2053), keys 384036, prunes 4296563, fallbacks 54746
    lm2joint[live]: consults 67856049 (+1103878), misses 386774 (+2545), keys 386576, prunes 4351942, fallbacks 54946
    lm2joint[live]: consults 68361095 (+505046), misses 387584 (+810), keys 387390, prunes 4377629, fallbacks 55008
[14:08:39.409 UTC] threshold 144 exhausted:       177513122 nodes in 3379.37s (0.05 Mn/s)
    lm2joint: 68437247 consults; axis-memo misses 387654 (0.0944% — 387461 distinct keys across workers); PRUNED 4377937 (6.40% of consults); budget fallbacks 55015
[14:08:39.409 UTC] search: end    (3379.37s in search)
Lower bound: depth >= 146
Wall-clock     : 3380.81s
Nodes          : 177513122
Iterations     : 1
Search time    : 3379.37s
Throughput     : 0.05 Mnodes/s
