board	seed	len	d	cwd	slack	md	dem_tot	dem_ctr_w	dem_row	dem_col	mis_cnt	mis_mass	flow_row	flow_col	blank_r	blank_c	sec
35	4597363874025009909	70	42	32	10	28	0	0	0,0,0,0,0	0,0,0,0,0	17	27	5,3,3,3	5,3,3,3	0	0	0.01
36	15998078693348208393	70	56	40	16	38	2	1	0,0,0,0,0	0,1,0,0,1	21	35	6,6,6,4	4,4,5,3	4	2	0.37
37	8952049438961855263	70	56	38	18	34	1	1	0,0,0,0,0	0,1,0,0,0	17	28	4,2,7,7	5,3,3,3	2	0	10.48
38	1906020184575502131	70	52	40	12	34	0	0	0,0,0,0,0	0,0,0,0,0	19	36	4,2,6,2	4,8,6,2	4	4	0.19
39	13306735003898700617	70	56	44	12	42	0	0	0,0,0,0,0	0,0,0,0,0	22	37	6,6,4,4	7,5,3,7	4	0	0.29
40	6260705749512347485	70	54	44	10	42	2	0	1,0,0,0,1	0,0,0,0,0	22	36	6,7,1,5	6,4,6,7	1	3	0.02
41	17661420568835545971	70	52	38	14	36	1	0	1,0,0,0,0	0,0,0,0,0	20	36	3,5,5,5	2,2,8,6	0	4	0.88
42	10615391314449192839	70	40	34	6	32	1	0	0,0,0,0,0	1,0,0,0,0	20	31	4,4,4,3	6,7,1,3	3	1	0.00
43	3569362060062839709	70	52	34	18	30	2	1	0,0,0,0,0	0,0,0,1,1	16	31	3,5,7,3	4,4,4,0	0	4	0.43
44	14970076879386038193	70	64	50	14	44	4	1	1,0,0,1,1	1,0,0,0,0	23	39	4,6,8,2	4,6,8,6	4	4	6.77
45	7924047624999685063	70	44	36	8	34	1	1	0,0,0,1,0	0,0,0,0,0	20	31	2,1,3,9	6,5,3,5	1	1	0.00
46	878018370613331931	70	46	40	6	34	2	1	0,0,0,0,0	1,0,0,1,0	18	35	2,2,8,8	2,6,4,2	4	4	0.00
47	12278733189936530417	70	60	44	16	42	1	1	0,0,0,1,0	0,0,0,0,0	17	29	4,6,6,5	4,4,6,7	3	3	1.76
48	5232703935550177285	70	50	44	6	44	0	0	0,0,0,0,0	0,0,0,0,0	22	35	6,6,5,5	6,4,5,7	2	2	0.00
49	16633418754873375771	70	48	40	8	34	2	3	0,1,0,0,0	0,0,1,0,0	19	35	6,7,5,3	2,2,4,5	1	3	0.01
50	9587389500487022639	70	52	42	10	40	0	0	0,0,0,0,0	0,0,0,0,0	21	34	8,1,7,5	6,5,5,3	1	1	0.06
51	2541360246100669509	70	46	40	6	34	3	2	0,0,1,0,1	1,0,0,0,0	19	32	2,1,3,5	6,7,7,3	1	1	0.00
52	13942075065423867993	70	36	28	8	26	2	1	0,0,0,0,0	0,0,0,1,1	18	33	2,5,7,1	2,2,2,5	1	3	0.00
53	6896045811037514863	70	48	34	14	34	0	0	0,0,0,0,0	0,0,0,0,0	19	34	3,3,5,5	3,5,7,3	0	0	0.05
54	18296760630360713347	70	56	42	14	40	1	0	0,0,0,0,0	1,0,0,0,0	22	35	6,4,8,7	2,5,3,5	3	1	0.39
55	11250731375974360217	70	48	30	18	30	0	0	0,0,0,0,0	0,0,0,0,0	15	29	4,4,4,1	2,5,5,5	3	1	1.05
56	4204702121588007085	70	46	32	14	28	1	2	0,0,1,0,0	0,0,0,0,0	17	29	6,4,3,3	2,4,2,4	2	4	0.06
57	15605416940911205571	70	58	42	16	38	3	1	1,0,0,1,1	0,0,0,0,0	21	34	4,2,4,3	6,9,7,3	3	1	0.53
58	8559387686524852439	70	56	44	12	40	2	3	0,0,0,0,0	0,1,1,0,0	23	37	4,6,4,4	6,4,7,5	4	2	0.16
59	1513358432138499309	70	50	36	14	30	2	3	0,0,1,1,0	0,0,0,0,0	15	27	5,1,3,1	4,6,4,6	0	4	0.06
60	12914073251461697793	70	54	44	10	40	3	1	0,0,0,1,1	0,0,0,0,1	22	36	4,6,5,3	4,10,5,3	2	2	0.05
61	5868043997075344663	70	44	38	6	38	0	0	0,0,0,0,0	0,0,0,0,0	21	38	7,3,5,3	1,3,9,7	0	0	0.00
62	17268758816398543147	70	46	38	8	34	0	0	0,0,0,0,0	0,0,0,0,0	17	28	4,2,5,7	5,5,3,3	2	0	0.00
63	10222729562012190017	70	44	34	10	34	0	0	0,0,0,0,0	0,0,0,0,0	20	34	6,5,3,5	2,3,5,5	1	1	0.00
64	3176700307625836885	70	54	44	10	38	1	1	0,0,0,0,0	0,1,0,0,0	19	34	6,6,5,5	3,3,9,1	2	0	0.08
65	14577415126949035371	70	52	38	14	34	3	3	0,0,1,0,0	1,0,0,1,0	19	33	4,3,5,5	4,5,5,3	1	1	0.77
66	7531385872562682239	70	62	44	18	42	1	0	0,0,0,0,0	1,0,0,0,0	21	35	8,8,5,5	4,4,2,6	2	4	14.52
67	485356618176329109	70	52	44	8	38	2	3	0,0,0,1,0	0,0,1,0,0	21	32	6,4,4,5	8,4,2,5	3	3	0.03
68	11886071437499527593	70	56	40	16	38	1	1	0,0,0,0,0	0,1,0,0,0	19	32	4,4,4,5	8,9,3,1	3	1	2.22
69	4840042183113174463	70	54	38	16	34	1	1	0,1,0,0,0	0,0,0,0,0	20	31	4,3,3,5	6,2,6,5	1	3	0.78
70	16240757002436372947	70	60	48	12	44	1	0	0,0,0,0,0	1,0,0,0,0	23	37	8,2,6,6	6,6,5,5	4	2	0.51
71	9194727748050019817	70	44	30	14	28	2	2	0,0,0,0,0	1,0,1,0,0	19	29	4,4,6,3	4,2,2,3	3	3	0.01
72	2148698493663666685	70	40	34	6	34	0	0	0,0,0,0,0	0,0,0,0,0	20	30	6,4,4,2	6,6,3,3	4	2	0.00
73	13549413312986865171	70	46	34	12	32	1	0	0,0,0,0,0	0,0,0,0,1	20	33	4,4,6,4	2,6,3,3	4	2	0.01
74	6503384058600512039	70	58	36	22	32	1	0	1,0,0,0,0	0,0,0,0,0	17	23	2,5,3,3	6,4,4,5	1	3	11.58
75	17904098877923710525	70	48	40	8	38	1	0	1,0,0,0,0	0,0,0,0,0	20	34	2,6,6,2	6,6,7,3	4	2	0.01
76	10858069623537357393	70	62	48	14	46	0	0	0,0,0,0,0	0,0,0,0,0	21	33	4,6,6,5	8,5,7,5	3	1	0.63
77	3812040369151004263	70	46	36	10	34	1	0	0,0,0,0,0	0,0,0,0,1	21	33	4,5,5,3	6,3,3,5	1	1	0.01
78	15212755188474202747	70	54	38	16	38	0	0	0,0,0,0,0	0,0,0,0,0	19	29	3,3,5,5	4,6,5,7	0	2	0.37
79	8166725934087849617	70	50	40	10	40	0	0	0,0,0,0,0	0,0,0,0,0	22	37	4,4,6,8	6,2,7,3	4	2	0.02
80	1120696679701496485	70	50	36	14	34	1	2	0,0,1,0,0	0,0,0,0,0	21	36	4,4,3,3	5,5,3,7	2	0	0.09
81	12521411499024694971	70	58	44	14	40	2	2	0,0,0,0,0	0,0,1,0,1	21	34	7,5,9,3	4,6,3,3	0	2	0.68
82	5475382244638341839	70	46	34	12	32	1	1	0,0,0,1,0	0,0,0,0,0	21	32	5,3,3,5	6,4,4,2	0	4	0.01
83	16876097063961540325	70	62	44	18	42	2	0	1,0,0,0,1	0,0,0,0,0	22	37	4,4,8,2	7,5,7,5	4	0	3.64
84	9830067809575187193	70	50	40	10	40	0	0	0,0,0,0,0	0,0,0,0,0	22	32	6,4,4,5	4,5,5,7	3	1	0.03
85	2784038555188834063	70	62	48	14	42	2	0	0,0,0,0,1	1,0,0,0,0	20	28	6,7,5,5	4,7,3,5	1	1	3.62
86	14184753374512032547	70	66	48	18	44	2	1	1,1,0,0,0	0,0,0,0,0	23	35	4,6,5,3	8,8,5,5	2	2	33.61
87	7138724120125679417	70	58	42	16	38	1	1	0,0,0,0,0	0,1,0,0,0	19	33	6,4,5,5	3,5,5,5	2	0	1.56
88	92694865739326285	70	46	36	10	32	2	3	0,1,0,0,0	0,0,1,0,0	16	26	3,3,5,5	2,4,5,5	0	2	0.01
